guid,english,danish,picture,danish audio,tags
g~Rt9&tK4u,banana,en banan,"<img src=""yellow-banana-on-hand-2280926.jpg"" class="""" style="""">",[sound:pronunciation_da_banan.mp3],Food
Fe0oG8Btoq,bird,en fugl,"<img src=""animal-avian-beak-bird-416179.jpg"" class="""" style="""">",,Animal
P|`HTQI*<X,cat,en kat,"<img src=""adorable-animal-blur-cat-617278.jpg"" class="""" style=""height: 1064px; width: 1606px;"">",,Animal
z@<xt0ALp>,cow,en ko,"<img src=""pexels-photo-422218.jpeg"" class="""" style=""height: 709px; width: 1260px;"">",,"Animal, Food"
yPp[%3t8JZ,dog,en hund,"<img src=""adorable-animal-canine-cute-220938.jpg"" class="""" style=""height: 928px; width: 670px;"">",,Animal
QEpw0arZHc,fish,en fisk,"<img src=""pexels-photo-128756.jpeg"" class="""" style=""height: 750px; width: 1125px;"">",,"Animal, Food"
B<h2E[~=lh,healthy,rask,"<img src=""top-view-photo-of-food-dessert-1099680.jpg"" class="""" style=""""><img src=""women-s-white-top-and-orange-floral-skirt-823694.jpg"" class="""" style="""">",,
wNvM-%`2(w,horse,en hest,"<img src=""animal-animal-photography-close-up-countryside-1996333.jpg"" class="""" style=""height: 1070px; width: 1606px;"">",,Animal
g+fae;q(.R,mouse,en mus,"<img src=""animal-cute-little-mouse-301448.jpg"" class="""" style=""height: 1124px; width: 1606px;"">",,Animal
r`}{0TVY{*,pig,et svin,"<img src=""farm-farmer-pink-ears-110820.jpg"" class="""" style="""">",,Animal
H&F*v7O;%g,tired,træt,"<img src=""woman-working-girl-sitting-133021.jpg"" class="""" style=""""><img src=""alone-bed-bedroom-blur-271897.jpg"" class="""" style="""">",,
fKOoDXEx6F,to drink,at drikke,"<img src=""woman-drinking-water-1458671.jpg"" class="""" style="""">",,
oWi02n5KN>,to eat,at spise,"<img src=""adult-bowl-brunette-eat-1153371.jpg"" class="""" style="""">",,
wR4a.^i#Nz,to learn,at lære,"<img src=""man-holding-book-2781195.jpg"" class="""" style="""">",[sound:pronunciation_da_lære.mp3],
uz1+QG20d],you,du,"<img src=""woman-in-black-long-sleeved-shirt-905947.jpg"" class="""" style=""height: 1005px; width: 670px;"">",[sound:pronunciation_da_du.mp3],
